ID,Experimental (Koc),BalabanJ,AMID,ATSC2s,nAromAtom,ATSC0pe,ETA_shape_x,fMF,FilterItLogS,ATS8se,ATSC0dv,nBondsD,NddsN,SMR,TIC1,NdO,nP,TpiPC10,SLogP,BCUTs-1h,ATSC1are,EState_VSA7,NdS,ATS5s,nG12FRing,piPC8,ZMIC1
443,0,2.6887,1.919,10.6033,6,3.3227,0.0739,0.2143,-1.7185,128.1174,117.1905,1,0,56.9234,82.8315,1,0,6.5894,0.3715,7.0083,0.4254,20.7712,0,198.6435,0,3.9919,28.5275
445,1,2.0049,1.9862,-1.6127,12,3.8461,0.085,0.4667,-5.9394,315.1891,109.5894,1,0,92.16,99.1489,0,1,7.667,5.4161,3.5144,-0.8396,30.3318,1,143.1429,0,5.6999,54.3201
446,0,2.2875,1.9414,10.48,6,2.9137,0,0.25,-3.3905,136.4381,88.8807,1,0,54.2674,83.0196,1,0,6.3362,2.3997,7.0083,-0.2631,12.9901,0,102.8786,0,4.3647,25.8005
447,1,2.5502,1.94,41.4328,6,4.8634,0.1027,0.1463,-3.9815,634.6,146.0446,1,0,81.0922,130.3363,1,1,6.9164,4.2383,7.0066,-1.5903,45.2261,0,304.3899,0,5.1781,33.8714
448,1,2.734,1.931,31.2718,6,5.6675,0.0981,0.2143,-4.6117,266.2595,132.8078,2,0,78.0115,95.5864,1,1,7.0636,5.6015,7.0066,-1.8908,0,0,163.9383,0,5.136,56.6702
449,0,2.6156,1.9276,23.2615,6,4.5624,0,0.1714,-2.3453,563.2846,161.8857,1,0,65.544,90.4663,1,0,6.8733,1.2198,7.0083,0.1414,27.9428,0,185.5,0,4.8195,33.6438
450,0,3.8986,1.868,20.618,0,4.6847,0,0,-0.667,251.9276,138.7243,3,0,55.1847,78.6075,2,0,5.2781,0.1071,7.0094,0.293,0,0,135.713,0,1.6094,29.3572
451,1,2.7514,1.9596,1.3707,6,4.5582,0,0.1277,-5.5634,748.8315,143.5755,1,0,89.131,136.7591,1,0,7.0566,4.1574,7.0083,0.2231,6.0664,0,312.4702,0,5.0554,36.7364
452,1,2.4483,1.9503,21.1215,6,5.8328,0,0.1667,-2.422,434.6157,168.0617,4,0,89.9648,124.6075,2,0,7.1454,1.7922,7.0094,-1.0412,0,2,198.1296,0,5.2886,49.664
453,0,2.4964,1.9265,9.4255,6,3.066,0.0613,0.2222,-4.0857,226.4425,96.2561,1,0,66.8402,97.3624,1,0,6.7824,3.135,7.0083,-0.1258,0,0,182.2593,0,4.5047,34.6989
