ID,NddsN,nP,TpiPC10,SLogP,BCUTs-1h,NdS,ATS5s,nG12FRing,ZMIC1,Experimental
314,0,0,7.3982,4.4527,3.5097,0,68.9893,0,72.1335,4.02
315,0,0,4.6444,3.3716,7.0083,0,161.6296,0,29.4614,2.8
316,0,0,7.7655,3.4022,2.2722,0,94.1667,0,34.786,3.78
318,0,0,9.6459,2.2765,7.0094,0,312.2222,1,38.6822,3.46
320,0,0,6.1228,2.8651,6.0273,0,29.1914,0,34.7711,2.5
321,0,0,9.1618,3.4853,6.0027,0,192.8333,1,46.9326,3.61
322,0,0,6.3186,1.8809,6.0028,0,62.8333,0,24.2586,3.4
323,0,0,6.201,3.0352,7.0083,0,149.9167,0,31.2523,2.26
324,2,0,7.5541,4.1482,8.0086,0,499.3333,0,43.9097,4.2
326,0,0,6.5509,1.1323,3.5138,0,153.5,0,32.1722,2.64
327,0,0,3.091,0.1204,2.6094,0,31,0,18.7996,1.18
328,0,0,5.1533,0.4853,7.0088,0,126.2618,0,24.7225,0.56
329,0,0,5.3845,0.1514,7.0146,0,150.5818,0,27.2932,0.42
331,0,0,6.1124,2.0866,7.0083,0,64.9837,0,32.3042,1.56
333,0,0,6.2005,4.8411,8.0206,0,1950.5278,0,97.9815,2.35
334,1,0,7.8656,4.6939,8.0019,0,129.4938,0,48.9772,4
335,0,0,7.1442,3.8734,7.0094,0,142.0168,0,62.9509,3.7
336,2,0,7.5461,4.1482,8.0086,0,500.1667,0,43.9097,4.03
337,0,0,6.9549,4.0436,6.0285,0,74.6874,0,62.7475,3.26
338,0,0,6.6456,2.1915,3.0675,0,174.677,0,36.0618,2.91
339,0,0,6.5235,1.803,3.0675,0,154.4012,0,35.3207,2.76
340,0,0,6.4632,2.7002,7.0083,0,126.7121,0,32.7298,1.5
341,0,0,6.1293,2.6276,4.0052,1,38.9259,0,36.2592,2.26
342,0,0,6.2799,2.6668,7.0083,0,202.1111,0,33.1489,2.42
346,0,0,6.0326,1.9397,7.0083,0,88.4398,0,32.1689,2.06
347,0,0,7.8487,4.2258,7.0083,0,173.4599,0,45.2072,3.55
348,0,0,6.5636,3.3868,7.0083,0,223.8889,0,36.6534,2.31
353,2,0,7.3233,3.3437,8.0086,0,405.125,0,40.2209,3.61
354,1,1,7.7311,3.6451,8.0019,1,221.3066,0,48.4019,3.12
356,0,0,6.1602,2.5183,7.0083,0,91.9342,0,28.2807,2.15
